Z,N,AX,E(keV),J,T1/2,Eγ(keV),λ
34,58,92Se,0+X,,10.3(+5528) μs,"503.4(5)?
538.8(5)?
897.8(5)?",
35,57,92Br,662.4 (8),,0.089(+78) μs,106.3(5),E2
35,57,92Br,1137.9 (5),,0.084(+109) μs,"778.8(5)
898.3(5)
1039.8(5)",
37,55,92Rb,284.31 (20),3,54(3) ns,142.0(2),E2
39,53,92Y,0+X,,3.3(6) μs,,
41,51,92Nb,135.5 (4),(2)+,10.15(2) d,,
41,51,92Nb,225.8 (4),(2),5.9(2) μs,90.37(9),E1
41,51,92Nb,2203.3 (4),11,167(4) ns,115.8(2),E2
42,50,92Mo,2760.52 (14),8+,190(3) ns,148.14(13),E2
43,49,92Tc,270.09 (8),(4+),1.03(7) μs,56.34(2),E2
44,48,92Ru,2535.2 (13),(5),16(2) ns,"680.1(10)
1670.7(10)",(E3)
44,48,92Ru,2833.9 (18),(8+),100(14) ns,163.1(2),E2
45,47,92Rh,0+X,(2+),0.53(37) s,,
34,59,93Se,0+X,,0.39(+128) μs,"208.3(5)?
469.9(5)?",
36,57,93Kr,354.85 (25),(7/2+),10(2) ns,237.4(2),(E2)
37,56,93Rb,4423.1 (15),(27/2),111(11) ns,100.9,
39,54,93Y,758.719 (21),9/2+,0.82(4) s,168.499(4),E3
41,52,93Nb,30.77 (2),1/2,16.12(12) y,30.77(2),M4
41,52,93Nb,7435.3+X,,1.5(5) μs,,
42,51,93Mo,2424.95 (4),21/2+,6.85(7) h,263.049(13),E4
42,51,93Mo,9670.0+X,(39/2),1.1(+154) μs,,
43,50,93Tc,391.84 (8 ),1/2,43.5(10) min,391.83(8),M4
43,50,93Tc,2185.16 (15),(17/2),10.2(3) μs,"0.31(2)
39.75(10)
750.7(2)",M2+E3
44,49,93Ru,734.40 (10),(1/2),10.8(3) s,734.4(1),
44,49,93Ru,2082.5 (9),(21/2)+,2.49(15) μs,146.3(10),E2
44,49,93Ru,2280.5 (7),(17/2),35(4) ns,"151.3(10)
167.8(10)
343.8(10)",(E1)
35,59,94Br,294.6 (5),,0.530(15) μs,"92.1(5)
179.0(5)",E2
37,57,94Rb,1485.2 (10),(8+),18(1) ns,"168.7
169.8
817.7",
37,57,94Rb,2074.9 (14),(10),107(16) ns,589.7,
39,55,94Y,1202.3 (10),(5+),1.30(1) μs,"769.9
1202.4","(M2)
(E3)"
41,53,94Nb,40.892 (12),3+,6.263(4) min,40.90(5),M3
41,53,94Nb,140.298 (12),(2),30(5) ns,99.4074(9),E1
42,52,94Mo,2955.55 (13),8+,98(2) ns,"83.6(10)
532.1(1)","E2
E2(+M3)"
43,51,94Tc,76 (3),(2)+,52.0(10) min,76(3),
44,50,94Ru,2498.0 (3),6+,65(2) ns,311.4(2),E2
44,50,94Ru,2644.1 (4),8+,71(4) μs,146.1(2),E2
45,49,94Rh,54.60 (20),(2+),0.48(3) μs,54.6(2),E2
45,49,94Rh,X,(8+),25.8(2) s,,
46,48,94Pd,4883.1(4),14+,499(13) ns,95.6(2),E2
46,48,94Pd,7212,(19),197(22) ns,"106
1651","E1
E3"
47,47,94Ag,0+X,(7+),0.55(6) s,,
47,47,94Ag,X,(21+),0.40(4) s,,
35,60,95Br,537.9 (5),"(3/2
1/2)",6.7(+119) μs,537.9 (5),
