Z,N,AX,E(keV),J,T1/2,Eγ(keV),λ
74,116,190W,1742.0 (20),8+,111(17) ns,"102
694","M1
E2"
74,116,190W,1839.0 (22),10,108(9) μs,97,M2
74,116,190W,X,,0.35(4) μs,,
74,116,190W,2394.5 (14),(10),0.06(+150−3) ms,58.5(5),(E1)
75,115,190Re,204 (10),(6),3.2(2) h @,,
76,114,190Os,1705.4 (2),(10),9.86(3) min,38.9(1),M2+E3
77,113,190Ir,26.1 (1),(1),1.120(3) h,26.3(1),M3
77,113,190Ir,36.154 (25),(4)+,> 2 μs,36.155(25),E1
77,113,190Ir,317.56 (4),(5),90(3) ns,149.196(21),
77,113,190Ir,376.4 (1),(11),3.087(12) h,148.7(1),M4
78,112,190Pt,2297.4 (3),10,48(4) ns,"75.0(5)
219.1(2)",(E2)
79,111,190Au,0+X,(11),125(20) ms,,
80,110,190Hg,2620.7 (5),(12+),23(1) ns,23.9(5),
81,109,190Tl,89 (12),7(+),3.7(3) min,,
81,109,190Tl,151.3+X,(3+),> 34 ns,151.3,(E1)
81,109,190Tl,161.9+Y,(8),0.75(4) ms,161.9(2)?,E1+M2
82,108,190Pb,2614.8 (8),(10)+,150 ns,"338.6
362.9",E2
82,108,190Pb,2615+X,(12+),25 μs,,
82,108,190Pb,2658.2 (8),(11),7.2(6) μs,"43.2
382
406.5","(E3)
E3"
82,108,190Pb,4516.8 (11),(16+),~ 14 ns,188.7,
83,107,190Bi†,"0+X
0+Y","(3+)
(10)","6.3(1) s
6.2(1) s",,
83,107,190Bi,121+Z,(5),175(8) ns,76.0(5),E1
83,107,190Bi,273+Y?,,0.50(10) μs,273(1)?,E2+M1
74,117,191W,X,,0.34(2) μs,"67.5(5)?
167.4(5)?",
75,116,191Re,X,,77(33) μs,"134.5(5)?
139.9(5)?
158.3(5)?
224.6(5)?
418.5(5)?
443.7(5)?",
76,115,191Os,74.382 (3),3/2,13.10(5) h,74.379(9),M3+E4
76,115,191Os,2640,"(29/2,
31/2)",61(4) ns,453,
77,114,191Ir,171.29 (4),11/2,4.899(23) s,41.89(4),E3
77,114,191Ir,2101.1 (9),31/2(+),5.8(6) s,"54.0(10)?
308.5(5)",M3
78,113,191Pt,100.663 (20),(9/2),> 1 μs,91.11(2),E2
78,113,191Pt,149.035 (22),(13/2)+,95(5) μs,48.37(1),M2
79,112,191Au,11.1 (5),(1/2+),15.5(15) ns,11.2(6),
79,112,191Au,266.2 (7),(11/2),0.92(11) s,13.7(6),(E3)
79,112,191Au,540.4 (8),(9/2),10(2) ns,274.1(3),M1+E2
79,112,191Au,2489.6 (9),(31/2+),402(20) ns,67.0(3),(E2)
80,111,191Hg,128 (8),13/2(+),50.8(15) min,,
81,110,191Tl,0+X,9/2(),5.22(16) min,,
82,109,191Pb,0+X,(13/2+),2.18(8) min,,
82,109,191Pb,2417.7+X,(29/2),15(4) ns,200.1(6),E2
82,109,191Pb,2440.7+X,"(27/2
29/2)",17(4) ns,"≈ 23.6?
149.19(5)",E1
83,108,191Bi,241 (4),(1/2+),125(13) ms,,
83,108,191Bi,429.7 (5),(13/2+),547(15) ns,429.7(5),M2
84,107,191Po,40 (15),(13/2+),93(3) ms,,
85,106,191At,55 (30),(7/2),2.1(+4−3) ms,,
75,117,192Re,X,,85(10) μs,159.3(5)?,
75,117,192Re,267 (10),,61(+4020) s @,267(10),
76,116,192Os,2015.40 (11),10,"5.9(1) s
10.5(+109) s @","302.48(6)
307.02(9)","(E3)
(M2)"
76,116,192Os,4113.8 (20),(16+),0.19(10) μs,446,E2
76,116,192Os,4580.3 (1),20+,295(10) ns,,
77,115,192Ir,56.720 (5),1,1.45(5) min,56.71(3),E3
77,115,192Ir,66.830 (20),(4),15(4) ns,"50.780(10)?
66.83(2)",E2
77,115,192Ir,104.776 (5),(1),17.4(26) ns,48.0568(8),M1+E2
77,115,192Ir,118.7824 (18),3,> 15 ns,"34.520(10)
118.7817(18)","M1
E1"
77,115,192Ir,168.14 (12),11,241(9) y,155.16(12),(E5)
78,114,192Pt,2172.37 (13),(10),272(23) ns,"69.12(10)
207.93(15)","M1
(E2)"
79,113,192Au,135.41 (25),(5)+,29 ms,"62.8(3)
103.8(3)","M2
E3"
79,113,192Au,431.6 (5),11,160(20) ms,59.8(3),E3
80,112,192Hg,2535.5 (4),(12+),11.1(5) ns,28.4,(E2)
81,111,192Tl,138 (45),(7+),10.8(2) min,,
81,111,192Tl,388 (45),(8),296(5) ns,250.6(2),(E1)
82,110,192Pb,2581.1 (4),(10)+,166(6) ns,"19.0?
60.8(4)
66.9(4)
277.3(6)","(E2)
E1
E2"
82,110,192Pb,2624.0 (8),(12+),1.09(4) μs,44.0(10),(E2)
82,110,192Pb,2743.5 (4),(11),0.756(14) μs,"120.6
162.5(3)
229
439.7(3)","E1

(E3)"
83,109,192Bi,147 (34),(10),39.6(4) s,,
84,108,192Po,2294.6 (10),(11),0.58(10) μs,154?,E1
85,107,192At†,"0+X
0+Y","(9
10)","88(6) ms
11.5(6) ms",,
75,118,193Re,145.2+X,(9/2),65(9) μs,145.2(5),
76,117,193Os,315.9 (4),(9/2),110(28) ns,242.7(3),
77,116,193Ir,80.239 (6),11/2,10.53(4) d,80.234(7),M4
77,116,193Ir,2277.4 (7),31/2+,124.8(21) μs,"226.7(5)
334.5(5)
385.0(5)","M2
(E3)"
78,115,193Pt,149.78 (4),13/2+,4.33(3) d,135.50(3),M4
79,114,193Au,290.19 (3),11/2,3.9(3) s,"32.21(2)
289.8",E3
79,114,193Au,1946.9 (3),(21/2)+,10.4(8) ns,"527.9(3)
1249.3(3)","E1
(E3)"
79,114,193Au,2486.5 (6),(31/2+),150(50) ns,161.8(3),(E2)
80,113,193Hg,140.76 (5),13/2(+),11.8(2) h,101.25(4),M4
81,112,193Tl,373 (9),(9/2),2.11(15) min,,
82,111,193Pb,0+X,(13/2+),5.8(2) min,,
82,111,193Pb,1585.9+X,(21/2),20.5(4) ns,"66.5(10)
184.0(4)",E1+M2
82,111,193Pb,2612.5+X,(33/2+),180(15) ns,85.6(4),(E2)
83,110,193Bi,308 (7),(1/2+),3.2(5) s,,
83,110,193Bi,605.5 (5),(13/2+),153(10) ns,605.0(5),
83,110,193Bi,X,,> 10 μs,,
83,110,193Bi,2357+X,(29/2),3.0(1) μs,,
84,109,193Po,95 (7),(13/2+),245(22) ms,,
85,108,193At,5 (10),(7/2),21(5) ms,,
85,108,193At,39 (7),(13/2+),27(+4-3) ms,,
75,119,194Re,X,,45(18) μs,,
75,119,194Re,285 (40),(11),25(8) s @,,
75,119,194Re,833 (33),,100(10) s @,,
77,117,194Ir,147.072 (2),4+,31.85(24) ms,"34.829(10)
62.793(3)","M2
M2"
77,117,194Ir,190+X,"(10,
11)",171(11) d,,
79,115,194Au,107.4 (5),5+,600(8) ms,26.9(5),(M2)
81,113,194Tl,260 (15),7+,32.8(2) min,,
82,112,194Pb,2407.1 (4),(9),17(3) ns,166.1(2),E2
82,112,194Pb,2437.4 (3),(8)+,17(4) ns,"196.2(2)
302.5(2)","(E1)
E2"
82,112,194Pb,2580.8 (4),(10)+,17.2(5) ns,"55?
173.7(2)",E1
82,112,194Pb,2628.1 (4),12+,370(13) ns,47.0(3),
82,112,194Pb,2933.0 (4),11,133(7) ns,"305.0(1)
352.2(1)
496(1)
526(1)","E1
E1
(E3)"
83,111,194Bi,184 (12),(10),115(4) s,,
83,111,194Bi,0+Y,"(6+,
7+)",125(2) s,,
84,110,194Po,2525.2 (8)?,(11),15(2) μs,458.6(5)?,
85,109,194At†,"0+X
0+Y","(9
10)","310(8) ms
253(10) ms",,
76,119,195Os,454 (10),,> 9 min @,,
76,119,195Os,1464.7 (4)?,(15/2+),26(4) ns,533.1(2),
76,119,195Os,2178.7+X,"(25/2+,
29/2)",34.0(23) ns,714.0(5),
77,118,195Ir,100 (5),11/2,3.67(8) h,100 (5)?,(M4)
77,118,195Ir,2354.0 (11),(27/2+),4.4(6) μs,268.4(5),
78,117,195Pt,259.077 (23),13/2+,4.010(5) d,"19.8?
129.5(2)",M4
79,116,195Au,318.58 (4),11/2,30.5(2) s,"56.80(3)
318.60(10)","E3
M4"
79,116,195Au,2418.2 (5),(29/2+),~ 69 ns,"177.7(1)
291.9(5)
438.1(5)",M1
79,116,195Au,2460.84 (22),29/2+,16(+84) μs,"43.1(1)
221.0(5)
481.4(1)",E2
79,116,195Au,2460.84+X,31/2(),12.89(21) μs,,
80,115,195Hg,176.07 (4),13/2+,41.6(8) h,122.78(3),M4
81,114,195Tl,482.63 (17),9/2,3.6(4) s,98.97(12),E3
82,113,195Pb,202.9 (7),13/2+,15.0(12) min,,
82,113,195Pb,1759.0 (7),21/2,10.0(7) μs,"5.1?
586.5(2)",E3(+M2)
82,113,195Pb,2901.7 (8),33/2+,95(20) ns,86.8(3),E2
83,112,195Bi,401 (7),(1/2+),87(1) s,,
83,112,195Bi,886.7 (1),13/2+,32(2) ns,886.7(1),M2
83,112,195Bi,2194.3 (3),23/2+,80(10) ns,150.7(2),E2
83,112,195Bi,2395.5 (5),(29/2),750(50) ns,86.3(2),E2
84,111,195Po,0+X,(13/2+),1.92(2) s,,
85,110,195At,33.0 (10),(7/2,143(3) ms,33?,
86,109,195Rn,(59),13/2+,5(+32) ms,,
75,121,196Re,0+X,,3.6(6) μs,,
77,119,196Ir,4.1E+2 (11),"(10,
11)",1.40(2) h,,
79,117,196Au,84.656 (20),5+,8.1(2) s,84.66(2),E3
79,117,196Au,595.66 (4),12,9.6(1) h,174.91(2),M4
81,115,196Tl,394.2 (5),(7+),1.41(2) h,120.1(3),M4
81,115,196Tl,738.1 (6),(8),21.3(5) ns,343.9(3),E1+M2
82,114,196Pb,1797.51 (14),5,140(14) ns,"59.23(9)
748.4(3)","E1
E3"
82,114,196Pb,2307.84 (18),9,52(5) ns,138.41(7),E2
82,114,196Pb,2621.9 (9),(8+),50(15) ns,198.0(5),
82,114,196Pb,2694.6 (3),12+,270(4) ns,47.7(5),(E2)
82,114,196Pb,3192.67 (25),11,72(4) ns,"497.8(2)
547.8(2)
562
884","E1
E1
E3
E2"
83,113,196Bi,169 (4),(7+),0.6(5) s,11(4),
83,113,196Bi,271 (5),(10),240(3) s,102.0(20),(E3)
84,112,196Po,2493.9 (4),11,856(17) ns,"198
552",E3
85,111,196At,157.9 (1),(5+),11(2) μs,157.9(1),E2
76,121,197Os,1735.6+X,"(25/2,
27/2)",78.2(66) ns,204.4(5),
85,112,197At,52 (10),(1/2+),2.0(2) s,,
85,112,197At,310.70 (20),13/2+,1.3(2) μs,310.7(2),M2
86,111,197Rn,194 (12),(13/2+),25(+32) ms,,
76,122,198Os,1680.8+X,(7),16.1(8) ns,,
76,122,198Os,3198.6+Y,(12+),18.0(28) ns,,
77,121,198Ir,116.4 (2)?,,77(9) ns,116.4(2),
78,120,198Pt,3017.0 (17),(12),36(2) ns,"104?
337",
79,119,198Au,312.2200 (20),5+,124(4) ns,97.249(2),E1
79,119,198Au,811.7 (15),(12),2.272(16) d,115.2(15),(M4)
81,117,198Tl,543.6 (4),7+,1.87(3) h,260.9(3),M4
81,117,198Tl,687.2 (5),(5+),150(40) ns,13?,
81,117,198Tl,742.4 (4),(10),32.1(10) ms,198.8(2),(E3)
81,117,198Tl,934.2 (4),(8),12.3(3) ns,390.6(2),E1+M2
82,116,198Pb,1823.5 (4),(5),50.4(5) ns,"197.6(2)
760",E1
82,116,198Pb,2141.4 (4),(7),4.19(10) μs,317.9(2),E2
82,116,198Pb,2231.4 (5),(9),137(10) ns,90.0(2),E2
82,116,198Pb,2820.5 (7),(12)+,212(4) ns,48.2(5),E2
83,115,198Bi,280 (40),(7+),11.6(3) min,,
83,115,198Bi,530 (40),(10),7.7(5) s,248.5(5),(E3)
84,114,198Po,1853.63 (18),8+,29(2) ns,136.1(2),E2
84,114,198Po,2565.92 (20),11,200(20) ns,"241.2(2)
712.3(1)","E2
E3"
84,114,198Po,2691.86+X,12+,0.75(5) μs,,
85,113,198At,287 (12),(10),1.21(7) s,,
87,111,198Fr†,"0+X
0+Y",,"15(3) ms
1.1(7) ms",,
78,121,199Pt,424 (2),(13/2)+,13.6(4) s,391.93(14),E3
78,121,199Pt,1760+X,"(25/2,
27/2)",18.6(34) ns,,
80,119,199Hg,532.48 (10),13/2+,42.67(9) min,"118.6?
374.1(1)",M4+E5
81,118,199Tl,748.87 (6),9/2,28.4(2) ms,"29(2)
381.98(5)",E3
82,117,199Pb,424.8+X,(13/2+),12.2(3) min,424.8(2),M4
82,117,199Pb,2559.1+X,(29/2),10.1(2) μs,59.1(3),E2
82,117,199Pb,3490.1+X,(33/2+),63(4) ns,88.7(2),E2
82,117,199Pb,4474.7+X,(41/2+),40(10) ns,217.2(3),(E2)
83,116,199Bi,667 (4),(1/2+),24.70(15) min,667?,
83,116,199Bi,1647.5 (3),17/2+,34.1(24) ns,"145.70(20)
251.13(25)","E1
(E2)"
83,116,199Bi,1922.3+X,(25/2+),0.10(3) μs,,
83,116,199Bi,2523.2+X,29/2,168(13) ns,"80.0?
87.6?
285.16(25)
343.4(3)
493.2(3)",
84,115,199Po,310 (2),(13/2+),4.17(5) min,238,M4
85,114,199At,244.0 (20),1/2+,273(9) ms,103(2),(E3)
85,114,199At,572.90 (10),13/2+,70(20) ns,572.9(1),M2
85,114,199At,2293.4 (5),(29/2+),0.80(5) μs,162.9(2),E2
86,113,199Rn,0+X,(13/2+),0.31(2) s,,
87,112,199Fr*,X,,6.30(+10571) ms,,
87,112,199Fr*,Y,,"4.59 (+27887)
ms",,
78,122,200Pt,1566.9+X,(7),14.2(4) ns,,
78,122,200Pt,3136.2+X,(12+),13.4(13) ns,,
79,121,200Au,962 (88),12,18.7(5) h,,
81,119,200Tl,753.60 (24),7+,34.0(9) ms,212.7(2),E3
81,119,200Tl,762.00 (24),5+,0.33(5) μs,221.1(2),E1
82,118,200Pb,2153.8 (3),7,45.1(7) ns,245.15(13),E2
82,118,200Pb,2183.3 (11),(9),448(12) ns,29.5(10),
82,118,200Pb,3005.8 (12),(12+),199(3) ns,45.5(5),
82,118,200Pb,5075.9 (16),(19),72(3) ns,67.7(8),E2
82,118,200Pb,6948.3 (17),(25),58(4) ns,148.3(5),(E2)
83,117,200Bi,0+X,(2+),31(2) min,,
83,117,200Bi,428.20 (10),(10),0.40(5) s,428.2(1),(E3)
84,116,200Po,1773.6 (3),8+,61(3) ns,12.3(4)?,
84,116,200Po,2596.1 (3),11,100(10) ns,"334.8(1)
822.5(1)","E2
E3"
84,116,200Po,2804.5+X,12+,268(3) ns,,
85,115,200At,112 (5),(7+),47(1) s,,
85,115,200At,344 (5),(10),7.3(+2615) s,230.9(2),E3
86,114,200Rn,2300.5+X,,25(+116) μs,,
87,113,200Fr,> 101?,,0.6(+52) μs,,
78,123,201Pt,1455.5+X,(19/2+),21(3) ns,,
78,123,201Pt,1544.4+X,"(25/2,
27/2)",18.4(13) ns,≈90,
79,122,201Au,X,,5.6(24) μs,"378.2
638.0",
79,122,201Au,594 (5),11/2,0.34(+90−29) ms,41(6),
80,121,201Hg,1.5648 (10),1/2,81(5) ns,1.5648(10),M1+E2
80,121,201Hg,766.22 (15),13/2+,94(2) μs,218.9(1),M2(+E3)
81,120,201Tl,919.16 (21),9/2,2.01(7) ms,588.0(2),(E3)
81,120,201Tl,2747,(33/2),0.095(+3921) μs,,
82,119,201Pb,629.1 (3),13/2+,60.8(18) s,629.1(5),M4
82,119,201Pb,2719.6 (9),25/2,63(3) ns,222.4(5),E2
82,119,201Pb,2719.6+X,(29/2),508(3) ns,,
82,119,201Pb,4640.9+X,(41/2+),43(3) ns,79.5(5),E2
83,118,201Bi,846.35 (18),1/2+,57.5(21) min,846.3(3),M4(+E5)
83,118,201Bi,1933.3+X,(25/2+),118(28) ns,<80?,
83,118,201Bi,2741.0+X,(29/2),124(4) ns,"71.7(5)?
88.88(12)
150.5(6)
190.49(25)
440.9(4)","(E1)
(E1)
(E1)"
84,117,201Po,424.1 (23),13/2+,8.96(12) min,417.8(2),M4
85,116,201At,459.20 (15),1/2+,45(3) ms,269.1(1),E3
85,116,201At,749.0 (3),(13/2+),15.9(14) ns,"114.1
749.0(3)",(M2)
85,116,201At,2319.0 (10),29/2+,3.39(9) μs,"269
339","E2
E3"
86,115,201Rn,0+X,(13/2+),3.8(1) s,,
87,114,201Fr,130 (14),(1/2+),8(+12−3) ms,,
87,114,201Fr,(101-300),(13/2+),0.7(+52) μs,,
77,125,202Ir,X,,3.4(6) μs,"311.5(5)?
655.9(5)?
737.2(5)?
889.2(5)?
967.6(5)?",
78,124,202Pt,1788.5 (4),(7),141(7) μs,534.9(2),
81,121,202Tl,950.19 (10),7+,591(3) μs,459.72(7),E3
82,120,202Pb,2169.85 (8),9,3.54(2) h,"129.1(2)
547.4(2)
786.99(6)","E4
E5
E5"
82,120,202Pb,2208.44 (8),7,65.4(2) ns,"168.11(4)
825.4(3)","E2
E3"
82,120,202Pb,3237.7 (5),12+,24.2(3) ns,"46.0(5)
179.7(5)",E1
82,120,202Pb,4091.0+X,16+,110(5) ns,,
82,120,202Pb,5251.0+X,19,107(3) ns,1160.0(5),E2
83,119,202Bi,605+X,(10),3.04(6) μs,,
83,119,202Bi,2597.07+X,(17+),310(50) ns,50.7(3)?,
84,118,202Po,1691.5+X,8+,110(15) ns,,
84,118,202Po,2604.1+X,11,85(10) ns,"386.0(5)
912.5(5)","E2
E3"
84,118,202Po,3040.5+X,12+,19(4) ns,"143.1(5)
436.4(5)",E1
84,118,202Po,3573.5+X,15,11(3) ns,138.3(5),E2
85,117,202At,190 (40),(7+),182(2) s,,
85,117,202At,580 (40),(10),0.46(5) s,391.7(2),E3
87,115,202Fr,281 (17),(10),0.29(5) s,,
78,125,203Pt,1104.0+X,(33/2+),641(55) ns,1104.0(5),
79,124,203Au,641 (3),11/2,140(44) μs,78(3)?,
80,123,203Hg,932.1 (7),(13/2+),21.9(10) μs,341.0(5),
80,123,203Hg,8281.0 (5),(53/2+),146(30) ns,"753.9(5)
887.4(4)
1320.3(2)",
81,122,203Tl,3514.6+X,(25/2+),7.7(5) μs,,
82,121,203Pb,126.5 (3),1/2,75(3) ns,126.5(10),E2
82,121,203Pb,825.2 (3),13/2+,6.21(11) s,"4.9?
825.2(5)",M4
82,121,203Pb,1922.1 (4),21/2+,42(3) ns,258.4(1),E2
82,121,203Pb,2923.4+X,(25/2),122(4) ns,,
82,121,203Pb,2949.2 (4),29/2,480(7) ms,"153.4(2)
1027.0(3)","E3
M4"
83,120,203Bi,1098.12 (12),1/2+,305(5) ms,"189.5(2)
204.7(5)","E3
E3(+M2)"
83,120,203Bi,1990.6 (3),21/2+,90(7) ns,87.1(2),E2
83,120,203Bi,2041.5 (6),25/2+,194(30) ns,50.9(5),E2
83,120,203Bi,3032.2 (7),29/2,22.4(9) ns,"176.7(2)
301.3(2)","E1
E1"
84,119,203Po,641.68 (17),13/2+,45(2) s,"2.1?
641.8(2)",M4
84,119,203Po,2158.5 (6),,> 200 ns,182.5(5),
84,119,203Po,2792.4 (15),25/2,12(2) ns,"290.0(5)
304.3(5)
385.7(5)","(E1)
E1
E1"
85,118,203At,1942.03+X,,16.6(7) ns,≤100,
85,118,203At,1964.6+Y,(25/2+),11.8(14) ns,≤100,
86,117,203Rn,362 (5),(13/2+),26.9(5) s,,
87,116,203Fr,356.9 (9),1/2+,43(4) ms,"≈ 20
≈ 195?","(M2)
(E3)"
87,116,203Fr,426 (1),13/2+,0.37(5) μs,426(1),M2
88,115,203Ra,260 (30),(13/2+),24.2(78) ms,,
78,126,204Pt,1995.0 (15),(5),5.5(7) μs,1123(1),
78,126,204Pt,1995.0+X,(7),55(3) μs,,
78,126,204Pt,3153+X,(10+),146(14) ns,"97(1)
1158(1)",
79,125,204Au,1815.6+X,(16+),2.1(3) μs,976.6(5),
81,123,204Tl,145.89 (5),(0),18.7(14) ns,145.88(10),
81,123,204Tl,1103.9 (3),7+,61.7(10) μs,690.1(1),E3
81,123,204Tl,4391.62 (24),18+,420(30) ns,"754.3(1)
1036.3(1)","(M2)
(E3)"
81,123,204Tl,6239.4 (3),22,90(3) ns,"954.1(3)
1084.8(2)
1542.4(1)",(M2)
82,122,204Pb,1274.13 (5),4+,265(6) ns,"374.76(7)
1274",E2
82,122,204Pb,2185.88 (8),9,66.93(10) min,"622.2(2)
911.74(15)","E5
E5"
82,122,204Pb,2264.42 (6),7,0.45(+103) μs,"6.26(3)?
78.54(8)
990.4(2)","E2
E3"
83,121,204Bi,805.5 (3),10,13.0(1) ms,752.1(2),E3
83,121,204Bi,2833.4 (11),17+,1.07(3) ms,"181.8(2)
918.1(2)","M2
E3"
84,120,204Po,1639.03 (6),8+,155(3) ns,12.1?,
84,120,204Po,2227.33 (6),9,15.6(5) ns,588.30(2),E1
84,120,204Po,3564.1 (5),15,11.5(9) ns,124.8(3),(E2)
85,119,204At,587.30 (20),10,108(10) ms,587.3(2),E3
86,118,204Rn,2461.9 (4),10,33.4(24) ns,242.8(4),M1
86,118,204Rn,3035.3 (3),12+,14(4) ns,"438.0(4)
582.6(2)","E1
E2"
87,117,204Fr,41 (7),7(+),2.3(3) s,,
87,117,204Fr,316 (7),10(),1.65(15) ms,275,(E3)
79,126,205Au,907 (5),11/2,6(2) s,907(5),M4
79,126,205Au,2849.7 (6),19/2+,163(5) ns,"34.2?
962.5(5)",
80,125,205Hg,1556.40 (17),13/2+,1.09(4) ms,"161.4(2)
210.3(2)","M2
E3"
80,125,205Hg,3315.8 (9),(23/2),5.89(18) μs,"722.6(5)
950.2(5)",
81,124,205Tl,3290.60 (17),25/2+,2.6(2) μs,739.16(10),E3
81,124,205Tl,4835.6 (15),(35/2,235(10) ns,1217,
82,123,205Pb,2.329 (7),1/2,24.2(4) μs,2.328(7),E2
82,123,205Pb,1013.85 (3),13/2+,5.55(2) ms,"26.220(11)
310.35(5)
1013.8(1)","M2
E3
M4"
82,123,205Pb,5161.7 (7),33/2+,63(3) ns,"97.1(5)
1251.7(5)
1535.6(5)",E2
83,122,205Bi,1497.17 (9),1/2+,7.9(7) μs,"10.6?
24.9(2)
495.9(2)
624.8(1)","(E1)
M2"
83,122,205Bi,2064.7 (4),21/2+,100(6) ns,"23.8(5)
720.5(5)",M2
83,122,205Bi,2139.0 (7),25/2+,220(25) ns,74.3(5),E2
84,121,205Po,143.166 (17),1/2,310(60) ns,143.166(17),E2
84,121,205Po,880.31 (7),13/2+,0.645(20) ms,161.30(17),M2
84,121,205Po,1461.21 (21),19/2,57.4(9) ms,580.9(2),E3
84,121,205Po,3087.2 (4),29/2,115(10) ns,"106.5(2)
260.3(2)
374.8(2)",E1
85,120,205At,2062.62 (23),25/2+,66.6(19) ns,"8.5(5)?
126.7(1)",E1
85,120,205At,2339.65 (23),29/2+,7.76(14) μs,"277.1(1)
403.6(1)","E2
E3"
86,119,205Rn,657.1 (5) ?,(13/2+),> 10 s,657.1?,
87,118,205Fr,544.0 (10),13/2+,80(20) ns,544(1),(M2)
87,118,205Fr,609 (6),1/2+,1.15(4) ms,165(5)?,
88,117,205Ra,0+X,(13/2+),170(+60−40) ms,,
80,126,206Hg,2102.4 (3),5,2.09(2) μs,1034.2(2),E3
80,126,206Hg,3723.4 (14),(10+),107(6) ns,"100(1)
1257(1)",
81,125,206Tl,1405.47 (7),(5)+,78(2) ns,"453.28(5)
604.3(2)
1139.9(3)",
81,125,206Tl,1621.70 (11),(7)+,10.1(6) ns,216.26(8),
81,125,206Tl,2643.10 (18),(12),3.74(3) min,"316.8(2)
564.2(1)
1021.5(2)",M4
82,124,206Pb,2200.16 (4),7,125(2) μs,"202.44(3)
516.18(4)",E3
82,124,206Pb,4027.3 (3),12+,202(3) ns,"69.7(5)
1369.0(3)","E2
E3"
83,123,206Bi,59.897 (17),4+,7.7(2) μs,59.908(18),E2
83,123,206Bi,1044.8 (7),10,0.89(1) ms,"229.0(5)
903.6(5)","M2
E3"
83,123,206Bi,3147.1 (12),15+,15.6(3) ns,543.5(5),E1
83,123,206Bi,9233.3 (8),(28),155(15) ns,713.2(1),M2(+E3)
83,123,206Bi,10170.5 (8),(31+),> 2 μs,937.2(1),
84,122,206Po,1585.90 (11),8+,232(4) ns,12.50(10)?,
84,122,206Po,2262.09 (12),9,1.05(6) μs,"61.766(19)
676.4(2)","E1
(E1)"
85,121,206At,806.7+X,(10),813(21) ns *,121(1),E1
86,120,206Rn,1924.7 (6),(8)+,19(3) ns #,161.3,E2
86,120,206Rn,2475.55 (25),10,65(5) ns,"205.7(2)
551.2(2)",M1
86,120,206Rn,4129.8 (9),(15),11(2) ns,"242(1)
768(1)",E2
87,119,206Fr,0+X,7(+),≈ 16 s,,
87,119,206Fr,730 (40),10(),0.7(1) s,531,
89,117,206Ac,240 (40),(10),33(+22−9) ms,,
81,126,207Tl,1348.18 (16),11/2,"1.33(11) s
1.47(32) s @","997.1(3)
1348.1(3)",
82,125,207Pb,1633.356 (4),13/2+,0.806(5) s,1063.656(3),M4+E5
83,124,207Bi,2101.61 (16),21/2+,182(6) μs,"456.1(1)
743.30(15)","E3
E3"
83,124,207Bi,3887.4 (9),29/2,12.7(9) ns,386.8(5),E1+M2
84,123,207Po,68.557 (14),1/2,205(10) ns,68.55(2),E2
84,123,207Po,1115.076 (17),13/2+,49(4) μs,300.648(13),M2
84,123,207Po,1383.16 (7),19/2,2.79(8) s,"109.1
268.08(6)","M3
E3"
84,123,207Po,2379.7 (3),25/2+,43.0(3) ns,66.2(2),E2
85,122,207At,2117.3 (6),25/2+,108(2) ns,219.6(3),E1
86,121,207Rn,899.1 (10),13/2+,184.5(9) μs,234(1),M2
88,119,207Ra,554 (15),(13/2+),59(4) ms,,
80,128,208Hg,1296.9+X,(8+),99(14) ns,,
82,126,208Pb,4895.23 (5),10+,0.50(5) μs,"34.4
284.49(5)
857.71(10)",
83,125,208Bi,1571.1 (4),10,2.58(4) ms,920.5(3),E3(+M4)
83,125,208Bi,≈ 9000,,≈ 40 ns,,
84,124,208Po,1528.22 (4),8+,350(20) ns,4.02(3),E2
85,123,208At,1090.5,10,47.8(10) ns,"186.5
1018.5",E1
85,123,208At,2276.4 (18),16,1.5(2) μs,"472.2
750.9","E3
E3"
86,122,208Rn,2618.1 (4),10,11.8(7) ns,"153.0(1)
298.7(1)
789.7(1)","M1
M2"
86,122,208Rn,4066.4 (5),16,18.3(4) ns,141.2(2),M1
87,121,208Fr,826.3 (5),"(9, 10)",432(11) ns *,194.1,E1
87,121,208Fr,1209 (4),11,33(7) ns,382.9(18),E2
88,120,208Ra,2147.4 (4),(8+),270(21) ns,"130.2(2)
392.1(2)",
89,119,208Ac,506 (26),(10),25(+9−5) ms,,
83,126,209Bi,2442.86 (5),1/2+,10(2) ns,1546.51(5),E3
83,126,209Bi,2986.79 (5),19/2+,18(1) ns,"245.73(2)
386?",
84,125,209Po,1417.59 (9),(13/2),24.7(8) ns,90.8(1),E2
84,125,209Po,1472.5 (1),(17/2),93(5) ns,54.9,
84,125,209Po,4265.6 (1),(31/2),119(4) ns,"97.0
1289.1",E1
85,124,209At,1427.66 (12),(21/2),25.5(12) ns,106.10(8),E2
85,124,209At,2429.25 (23),(29/2)+,0.89(4) μs,577.55(15),E3
86,123,209Rn,1173.98 (13),13/2+,13.4(13) μs,376.2(1),M2
86,123,209Rn,3157.48 (21),(29/2),13.9(21) ns,199.9(1),M1+E2
86,123,209Rn,3636.78 (23),(35/2+),3.0(3) μs,479.3(1),E3
86,123,209Rn,4833.7 (3),(41/2),10.0(4) ns,1196.9(2),E3
87,122,209Fr,826.1 (6),(13/2+),446(14) ns,194.1(4),
87,122,209Fr,2130.5 (4),25/2+,33.3(21) ns,201.9(2),E1
