"Z","Species","CS","Occ","Element","Iso_elec","Ground_Shells","Ground_Config","Ground_Level","Ionized_Level","IE","IE_uncertainty","References"
20,"Ca X",9,11,"Calcium","Na","Ne3s","2p63s","2S1/2","2p6 1S0",0.211275,4e-06,"L11770"
20,"Ca XI",10,10,"Calcium","Ne","1s22s22p6","2s22p6","1S0","2p5 2P°3/2",0.5916,0.00012,"L11770"
20,"Ca XII",11,9,"Calcium","F","1s22s22p5","2s22p5","2P°3/2","2p4 3P2",0.6582,9e-04,"L11770"
20,"Ca XIII",12,8,"Calcium","O","1s22s22p4","2s22p4","3P2","2p3 4S°3/2",0.7286,0.0011,"L11770"
20,"Ca XIV",13,7,"Calcium","N","1s22s22p3","2s22p3","4S°3/2","2p2 3P0",0.8172,6e-04,"L11770"
20,"Ca XV",14,6,"Calcium","C","1s22s22p2","2s22p2","3P0","2p 2P°1/2",0.894,4e-04,"L11770"
20,"Ca XVI",15,5,"Calcium","B","1s22s22p","2s22p","2P°1/2","2s2 1S0",0.9737,3e-04,"L11770"
20,"Ca XVII",16,4,"Calcium","Be","1s22s2","1s22s2","1S0","2s 2S1/2",1.0868,4e-04,"L11770"
20,"Ca XVIII",17,3,"Calcium","Li","1s22s","1s22s","2S1/2","1s2 1S0",1.157726,7e-06,"L16264c99"
20,"Ca XIX",18,2,"Calcium","He","1s2","1s2","1S0","1s 2S1/2",5.1288578,5e-07,"L12128"
20,"Ca XX",19,1,"Calcium","H","1s","1s","2S1/2",NA,5.4698616,1e-06,"L7188"
